Classification; Confidence; Direction; Speed in km/h; Time
PKW;9;Richtung B nach A;44;01.02.2020 00:02
PKW;10;Richtung A nach B;36;01.02.2020 00:14
LKW mit Anhänger;8;Richtung A nach B;45;01.02.2020 00:16
PKW;9;Richtung B nach A;51;01.02.2020 00:21
PKW;8;Richtung B nach A;35;01.02.2020 03:21
PKW;9;Richtung A nach B;45;01.02.2020 03:36
LKW;8;Richtung B nach A;35;01.02.2020 04:08
PKW;8;Richtung B nach A;38;01.02.2020 04:10
Zweirad;8;Richtung A nach B;33;01.02.2020 04:14
PKW;9;Richtung A nach B;49;01.02.2020 05:15
PKW;9;Richtung B nach A;40;01.02.2020 05:34
PKW;9;Richtung B nach A;47;01.02.2020 05:36
PKW;9;Richtung A nach B;39;01.02.2020 05:46
Leichtes Nutzfahrzeug;8;Richtung B nach A;44;01.02.2020 05:51
PKW;9;Richtung A nach B;41;01.02.2020 05:59
LKW mit Anhänger;9;Richtung B nach A;38;01.02.2020 06:25
PKW;9;Richtung B nach A;35;01.02.2020 06:40
PKW;9;Richtung A nach B;42;01.02.2020 06:58
PKW;10;Richtung A nach B;35;01.02.2020 07:00
PKW;9;Richtung A nach B;37;01.02.2020 07:12
PKW;10;Richtung A nach B;35;01.02.2020 07:13
PKW;9;Richtung A nach B;45;01.02.2020 07:20
LKW;8;Richtung A nach B;41;01.02.2020 07:26
PKW;4;Richtung A nach B;40;01.02.2020 07:30
PKW;9;Richtung A nach B;37;01.02.2020 07:31
LKW mit Anhänger;8;Richtung B nach A;34;01.02.2020 07:32
PKW;10;Richtung A nach B;49;01.02.2020 07:45
PKW;9;Richtung B nach A;45;01.02.2020 07:47
PKW;9;Richtung A nach B;45;01.02.2020 08:15
PKW;9;Richtung B nach A;33;01.02.2020 08:21
LKW;9;Richtung B nach A;43;01.02.2020 08:22
PKW;9;Richtung A nach B;40;01.02.2020 08:27
Leichtes Nutzfahrzeug;9;Richtung A nach B;40;01.02.2020 08:32
PKW;10;Richtung A nach B;43;01.02.2020 08:32
PKW;9;Richtung A nach B;33;01.02.2020 08:49
PKW;9;Richtung A nach B;39;01.02.2020 08:49
PKW;9;Richtung A nach B;41;01.02.2020 08:55
PKW;8;Richtung B nach A;44;01.02.2020 09:09
PKW;9;Richtung A nach B;49;01.02.2020 09:11
Zweirad;10;Richtung B nach A;27;01.02.2020 09:17
PKW;9;Richtung B nach A;43;01.02.2020 09:18
LKW;9;Richtung B nach A;39;01.02.2020 09:22
PKW;9;Richtung A nach B;36;01.02.2020 09:34
LKW;9;Richtung A nach B;39;01.02.2020 09:35
PKW;9;Richtung A nach B;59;01.02.2020 09:39
Zweirad;10;Richtung B nach A;25;01.02.2020 09:45
Leichtes Nutzfahrzeug;4;Richtung A nach B;39;01.02.2020 09:49
PKW;9;Richtung A nach B;34;01.02.2020 09:52
PKW;8;Richtung B nach A;42;01.02.2020 09:59
PKW;9;Richtung A nach B;55;01.02.2020 10:00
